sourceOccurrenceId	sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	referenceDoi	referenceCitation	sourceBodyPartId	sourceBodyPartName	habitatId	habitatName	sourceLifeStageId	sourceLifeStageName	targetOccurrenceId	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime
1	GBIF:6346408	Ainsworthia zanthoxyli Bat. & C.A.A.Costa	RO:0002444	parasite of	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
2	GBIF:2581424	Allantophomopsis cytisporea (Fr.) Petr.	RO:0002444	parasite of	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
3	GBIF:6353458	Asteridium lepidigenum (Ellis) Sacc.	RO:0002444	parasite of	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
4	GBIF:2598792	Asterina Lév., 1845	RO:0002444	parasite of	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
5	GBIF:2561040	Bionectria ochroleuca (Schwein.) Schroers & Samuels	RO:0002454	has host	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
6	GBIF:3372868	Chrysomyxa cassandrae (Gobi) Tranzschel	RO:0002444	parasite of	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
7	GBIF:2518208	Cladosporium Link, 1816	RO:0002454	has host	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
8	GBIF:2579287	Coccomyces duplicarioides Sherwood	RO:0002454	has host	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
9	GBIF:3457810	Coniochaeta arctispora (Cooke & Ellis) M.E.Barr	RO:0002454	has host	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
10	GBIF:2567626	Diaporthe eres Nitschke	RO:0002454	has host	5333413	Andromeda polifolia L.		Filippova, N., Thormann, M., others, 2015. The fungal consortium of Andromeda polifolia in bog habitats. Mires and Peat 16, 1.	http://purl.obolibrary.org/obo/FAO_0000010	fruitbody	http://purl.obolibrary.org/obo/ENVO_00002268	sphagnum bog				http://purl.obolibrary.org/obo/PO_0009025	vascular leaf			GEONAMES:1503772	Khanty-Mansiysk			
